CPU,MAX_TEMPERATURE_LIMIT_C,TEMPERATURE_READOUT,MIN_TEMPERATURE_LIMIT_C,UNITS,DIAGNOSTIC_STATUS,DIAGNOSTIC_TEST_RESULT
0,75.0,27.500002,18.0,Celsius,cpu_no_throttle,pass
1,75.0,27.1,18.0,Celsius,cpu_no_throttle,pass
2,75.0,26.300001,18.0,Celsius,cpu_no_throttle,pass
3,75.0,27.900002,18.0,Celsius,cpu_no_throttle,pass
4,75.0,27.900002,18.0,Celsius,cpu_no_throttle,pass
5,75.0,27.900002,18.0,Celsius,cpu_no_throttle,pass
6,75.0,29.800001,18.0,Celsius,cpu_no_throttle,pass
7,75.0,26.7,18.0,Celsius,cpu_no_throttle,pass
CPU,MIN_FREQUENCY,FREQUENCY_READOUT,MAX_FREQUENCY,UNITS,DIAGNOSTIC_STATUS,DIAGNOSTIC_TEST_RESULT
0,300000,691200.0,1804800,MHz,cpu_in_frequency_bound,pass
1,300000,691200.0,1804800,MHz,cpu_in_frequency_bound,pass
2,300000,691200.0,1804800,MHz,cpu_in_frequency_bound,pass
3,300000,691200.0,1804800,MHz,cpu_in_frequency_bound,pass
4,710400,2419200.0,2419200,MHz,cpu_in_frequency_bound,pass
5,710400,2419200.0,2419200,MHz,cpu_in_frequency_bound,pass
6,710400,2419200.0,2419200,MHz,cpu_in_frequency_bound,pass
7,844800,844800.0,2841600,MHz,cpu_in_frequency_bound,pass
